Pós - graduação,Meta,MQL,Valor investido,CPL
Psicologia na RAPS,38,5," R$ 251,00 "," R$ 50,20 "
 Psicologia clinica						,23,5,"R$ 246,00","R$ 49,21"
 Alcool T3						,26,3,"R$ 229,00","R$ 44,17"
Suicidio T3,52,22,"R$ 1146,00","R$ 52,13"
Psicoterapia Infantil,40,19,"R$ 660,00","R$ 34,90"
AB Turma 4,0,0,"R$ 0","R$ 0"
Gestão T4,65,15,"R$ 573,00","R$ 38,25"
Formação Grupo,33,9,"R$ 594,00","R$ 65,00"
Complexo Hospitalar,30,4,"R$ 150,00","R$ 37,50"
